strategy,n_trades,win_rate,avg_pnl_dollars,total_pnl_dollars,total_return_on_100k,sharpe,max_drawdown
lgbm,141,0.5603,-69.18,-9754.8,-0.1003,-2.833,-0.1069
xgb,89,0.573,-178.59,-15894.45,-0.1592,-4.161,-0.167
logreg,148,0.4595,-141.48,-20939.75,-0.2094,-5.148,-0.2413
vrp_only,3541,0.4838,-162.39,-575031.6,-5.7878,-6.6325,-5.7975
always_short,4853,0.4964,-164.17,-796720.75,-8.0222,-6.3449,-8.0319
