date,pnl,cum_pnl,equity
2024-10-01,130.65000000000006,130.65000000000006,100130.65
2024-10-11,100.89999999999999,231.55000000000007,100231.55
2024-10-16,15.14999999999999,246.70000000000005,100246.7
2024-10-21,103.30000000000007,350.0000000000001,100350.0
2024-10-22,25.000000000000306,375.0000000000004,100375.0
2024-10-23,-1219.7000000000007,-844.7000000000003,99155.3
2024-10-24,-509.59999999999957,-1354.2999999999997,98645.7
2024-10-25,-1110.6999999999996,-2464.999999999999,97535.0
2024-10-28,-207.89999999999998,-2672.899999999999,97327.1
2024-10-29,1433.9499999999998,-1238.9499999999994,98761.05
2024-10-30,-897.4999999999998,-2136.449999999999,97863.55
2024-10-31,822.3499999999999,-1314.099999999999,98685.9
2024-11-01,-108.75000000000014,-1422.8499999999992,98577.15
2024-11-04,-1119.2499999999995,-2542.0999999999985,97457.9
2024-11-05,720.0999999999999,-1821.9999999999986,98178.0
2024-11-06,-6516.750000000001,-8338.75,91661.25
2024-11-07,-1219.9500000000003,-9558.7,90441.3
2024-12-05,-129.6000000000004,-9688.300000000001,90311.7
2024-12-18,-910.1000000000005,-10598.400000000001,89401.6
2024-12-19,1226.05,-9372.350000000002,90627.65
2025-01-21,-807.7000000000002,-10180.050000000003,89819.95
2025-01-22,-3.8499999999999845,-10183.900000000003,89816.09999999999
2025-01-23,1050.05,-9133.850000000004,90866.15
2025-01-27,91.90000000000009,-9041.950000000004,90958.04999999999
2025-01-28,1097.9,-7944.050000000005,92055.95
2025-01-29,-1643.7999999999995,-9587.850000000004,90412.15
2025-01-30,1113.1999999999998,-8474.650000000005,91525.34999999999
2025-01-31,1102.1,-7372.550000000005,92627.45
2025-02-03,-1492.7000000000003,-8865.250000000005,91134.75
2025-02-04,-598.0500000000002,-9463.300000000007,90536.7
2025-02-05,2415.199999999999,-7048.100000000008,92951.9
2025-02-06,2122.6500000000005,-4925.450000000007,95074.54999999999
2025-02-10,-1710.5999999999995,-6636.050000000007,93363.95
2025-02-11,431.6499999999999,-6204.400000000007,93795.59999999999
2025-02-13,-7768.200000000002,-13972.60000000001,86027.4
2025-02-14,-117.3,-14089.900000000009,85910.09999999999
2025-02-18,364.40000000000003,-13725.50000000001,86274.49999999999
2025-02-20,1298.05,-12427.45000000001,87572.54999999999
2025-02-24,-489.1499999999995,-12916.60000000001,87083.4
2025-02-25,-577.05,-13493.650000000009,86506.34999999999
2025-02-26,553.7500000000002,-12939.900000000009,87060.09999999999
2025-02-27,-139.45,-13079.35000000001,86920.65
2025-02-28,-39.35,-13118.70000000001,86881.29999999999
2025-03-20,144.40000000000003,-12974.30000000001,87025.69999999998
2025-03-25,109.9,-12864.40000000001,87135.59999999999
2025-03-26,-148.6000000000001,-13013.000000000011,86986.99999999999
2025-04-11,94.89999999999998,-12918.100000000011,87081.9
2025-04-14,1316.65,-11601.450000000012,88398.54999999999
2025-04-15,252.15000000000003,-11349.300000000012,88650.69999999998
2025-04-16,74.39999999999999,-11274.900000000012,88725.09999999999
2025-04-22,-3646.8499999999995,-14921.750000000011,85078.24999999999
2025-04-23,-13723.1,-28644.850000000013,71355.15
2025-04-24,-1836.4000000000003,-30481.250000000015,69518.74999999999
2025-04-25,937.8000000000005,-29543.450000000015,70456.54999999999
2025-04-28,2970.4,-26573.050000000014,73426.94999999998
2025-04-29,10409.85,-16163.200000000013,83836.79999999999
2025-04-30,2324.35,-13838.850000000013,86161.15
2025-05-01,-320.7499999999998,-14159.600000000013,85840.4
2025-05-05,162.4,-13997.200000000013,86002.79999999999
2025-05-06,2010.6999999999998,-11986.500000000015,88013.49999999999
2025-05-07,2230.05,-9756.450000000015,90243.54999999999
2025-05-08,-768.6000000000001,-10525.050000000016,89474.94999999998
2025-05-20,240.90000000000018,-10284.150000000016,89715.84999999998
2025-05-22,-558.0999999999999,-10842.250000000016,89157.74999999999
2025-05-28,-2144.3,-12986.550000000017,87013.44999999998
2025-05-29,-2847.1000000000004,-15833.650000000018,84166.34999999998
2025-06-26,105.90000000000005,-15727.750000000018,84272.24999999999
2025-07-21,958.5999999999996,-14769.150000000018,85230.84999999998
2025-07-22,-1272.8999999999996,-16042.050000000017,83957.94999999998
2025-07-23,-5297.25,-21339.300000000017,78660.69999999998
2025-07-24,-96.45000000000005,-21435.75000000002,78564.24999999999
2025-07-25,234.40000000000012,-21201.350000000017,78798.64999999998
2025-07-28,64.4,-21136.950000000015,78863.04999999999
2025-07-29,-415.84999999999997,-21552.800000000014,78447.19999999998
2025-07-30,-4105.400000000001,-25658.200000000015,74341.79999999999
2025-07-31,-95.0499999999999,-25753.250000000015,74246.74999999999
2025-08-01,70.10000000000002,-25683.150000000016,74316.84999999998
2025-08-04,-578.55,-26261.700000000015,73738.29999999999
2025-08-06,215.25000000000034,-26046.450000000015,73953.54999999999
2025-08-07,-2682.5000000000005,-28728.950000000015,71271.04999999999
2025-08-19,295.39999999999986,-28433.550000000014,71566.44999999998
2025-08-20,112.39999999999995,-28321.150000000012,71678.84999999999
2025-08-27,318.3,-28002.850000000013,71997.15
2025-08-28,-1041.5999999999988,-29044.45000000001,70955.54999999999
2025-09-04,-829.3500000000006,-29873.800000000014,70126.19999999998
2025-09-30,-137.09999999999997,-30010.900000000012,69989.09999999999
2025-10-14,2160.6499999999996,-27850.250000000015,72149.74999999999
2025-10-16,419.90000000000003,-27430.350000000013,72569.65
2025-10-20,-384.59999999999997,-27814.95000000001,72185.04999999999
2025-10-21,554.6000000000001,-27260.350000000013,72739.65
2025-10-22,-687.5000000000005,-27947.850000000013,72052.15
2025-10-23,974.3499999999998,-26973.500000000015,73026.49999999999
2025-10-24,-864.0999999999999,-27837.600000000013,72162.4
2025-10-27,-253.80000000000007,-28091.400000000012,71908.59999999999
2025-10-28,-488.80000000000024,-28580.20000000001,71419.79999999999
2025-10-29,-1153.1500000000003,-29733.350000000013,70266.65
2025-10-30,51.049999999999926,-29682.300000000014,70317.69999999998
2025-10-31,1403.3999999999999,-28278.900000000012,71721.09999999999
2025-11-04,-152.7499999999999,-28431.650000000012,71568.34999999999
2025-11-05,-2.100000000000008,-28433.75000000001,71566.24999999999
2025-11-06,421.800000000001,-28011.95000000001,71988.04999999999
