date,announcement_date,stock_price_pre,stock_price_post,actual_move_pct,realized_vol_5d,realized_vol_21d,realized_vol_63d,vol_of_vol,vol_expansion_ratio,historical_move_avg
2017-07-31,2017-11-09,5.167477130889893,5.33992338180542,3.337145894360849,0.18288879546239142,0.19339265044038156,0.32664286385883046,0.06179695693106249,0.9456863797353652,
2017-10-31,2018-02-08,5.656625747680664,5.737717151641846,1.4335649480510693,0.8441083173524063,0.44905916963943926,0.4016172192340531,0.05193478275311683,1.8797262686566714,3.337145894360849
2018-04-30,2018-08-16,6.413183689117432,6.060194969177246,5.504110548699459,0.19907595521406446,0.1863328317579545,0.24117562044226623,0.05078768299990923,1.0683890398481315,2.385355421205959
2018-07-31,2018-11-15,4.883848667144775,4.072474956512451,16.613408111735662,0.7690639636574659,0.7351620360953075,0.5423735465199427,0.09998078553957936,1.0461149051469292,3.4249404637037926
2018-10-31,2019-02-14,3.7902004718780518,3.900773286819458,2.9173342086208143,0.41051734102265613,0.7108503001707585,0.7897505196699254,0.10460547240548129,0.5775018184898323,6.72205737571176
2019-04-30,2019-08-15,3.728620767593384,3.9644083976745605,6.3237224909135525,0.507060555050795,0.41170162165590507,0.3822985051688654,0.049557143203856166,1.231621466564418,5.961112742293571
2019-07-31,2019-11-14,5.187233924865723,5.078302383422852,2.0999928482248076,0.07534949962704335,0.2513923332764656,0.37893450240789245,0.031744072648386884,0.2997287094836686,6.021547700396901
2019-10-31,2020-02-13,6.783199787139893,7.212532997131348,6.329361119591637,0.30854189534401616,0.339531618135413,0.2898094730691558,0.05143975798013926,0.908728020790578,5.461325578658031
2020-04-30,2020-08-19,12.219099044799805,12.099759101867676,0.976667285325894,0.5115515670755445,0.38531024585099294,0.37976027370295656,0.01938315544705697,1.3276355160131703,5.569830021274731
2020-07-31,2020-11-18,13.380657196044922,13.398601531982422,0.13410653658181282,0.39025344374643595,0.5679307412411605,0.5249301348229076,0.09119920510076703,0.6871497093000687,5.0594786061693044
2020-10-31,2021-02-24,14.102341651916504,13.270181655883789,5.900863959849001,0.28625079650544877,0.398043097524713,0.34402984183924257,0.020331971802480194,0.7191452339848112,4.566941399210555
2021-04-30,2021-08-18,19.414581298828125,19.75381851196289,1.7473321104032324,0.2628818279784721,0.2555134256501656,0.3247817935920373,0.037122672744771344,1.028837632737134,4.688207086541323
2021-07-31,2021-11-17,30.14091682434082,31.609891891479492,4.873690723144741,0.41193322223534673,0.4959852106818315,0.41547546719155576,0.06620601977720987,0.830535292915411,4.443134171863149
2021-10-31,2022-02-16,26.44377899169922,24.45961570739746,7.503327285122873,1.0625573812391913,0.6921456425815904,0.6267868074290022,0.07718890874311701,1.5351644449801425,4.476253906577117
2022-04-30,2022-08-24,17.15433120727539,17.88519287109375,4.260508060543855,0.5289653501667895,0.5621816934631196,0.585337495677165,0.03617557311797738,0.94091528827324,4.6924734336161
2022-07-31,2022-11-16,16.645078659057617,15.657317161560059,5.934255510171804,1.1121368948112718,0.6104881915842233,0.6357358543379,0.04712735626954231,1.8217172914110997,4.663675742077951
2022-10-31,2023-02-22,20.634347915649414,23.640338897705078,14.567899089148707,0.5877597573832544,0.5978107449881738,0.5686081842167334,0.03829462587651825,0.9831870074447755,4.7430869775838165
2023-04-30,2023-08-23,45.63479995727539,47.12871170043945,3.2736239548824653,0.6744788741086325,0.5018006150675509,0.6082628419787437,0.054623499858225386,1.3441172725901027,5.321017101793516
2023-07-31,2023-11-21,50.37649917602539,48.68458938598633,3.3585299052385498,0.26102483776295216,0.344653647428005,0.3483973721118277,0.0304766546228291,0.7573540559076133,5.207273038076235
2023-10-31,2024-02-21,69.413330078125,78.49427032470703,13.082415490456079,0.40072579307888595,0.36927723843617904,0.3364262461293272,0.01607610302224234,1.0851624507805726,5.109970767926884
2024-04-30,2024-08-28,128.2451171875,117.53968811035156,8.347630936698069,0.5151741471392773,0.7950760064108435,0.6222465048240718,0.05788330571640861,0.6479558469697662,5.508593004053344
2024-07-31,2024-11-20,146.9596710205078,146.6197967529297,0.23127043305010142,0.4849290838038777,0.3770033579008479,0.4783456886678693,0.015713971931513613,1.2862725852203534,5.643785286560235
2024-10-31,2025-02-26,126.59536743164062,120.11714172363281,5.117269169826411,0.32711111866566267,0.8349047457561677,0.5818140479222661,0.018826400104262137,0.39179453743480674,5.397761884127957
2025-04-30,2025-08-27,181.7496337890625,180.14981079101562,0.8802345098002373,0.1338015498789016,0.2436878871183117,0.26116299913760477,0.013044769942420953,0.5490693503938514,5.385566548723542
2025-07-31,2025-11-19,181.3498992919922,180.62994384765625,0.39699798408860953,0.3571642276831682,0.4459672973382609,0.36385646817260214,0.04489925454062362,0.8008753776675768,5.19784438043507
2025-10-31,2026-02-25,192.85000610351562,184.88999938964844,4.127563630770393,0.09526801663478894,0.37902244813657754,0.319841505901524,0.07209130560983126,0.25135191095715764,5.005810524581212
