date,announcement_date,year,split,actual_move_pct,straddle_pct_pre,crush_pnl_pct,crush_profitable,strategy,trade,pnl_pct
2017-07-31,2017-11-09,2017,train,3.337145894360849,7.4,4.062854105639151,1,always_trade,1,4.062854105639151
2017-07-31,2017-11-09,2017,train,3.337145894360849,7.4,4.062854105639151,1,lr_filtered,1,4.062854105639151
2017-07-31,2017-11-09,2017,train,3.337145894360849,7.4,4.062854105639151,1,lgb_filtered,1,4.062854105639151
2017-10-31,2018-02-08,2017,train,1.4335649480510693,8.366666666666667,6.933101718615598,1,always_trade,1,6.933101718615598
2017-10-31,2018-02-08,2017,train,1.4335649480510693,8.366666666666667,6.933101718615598,1,lr_filtered,1,6.933101718615598
2017-10-31,2018-02-08,2017,train,1.4335649480510693,8.366666666666667,6.933101718615598,1,lgb_filtered,1,6.933101718615598
2018-04-30,2018-08-16,2018,train,5.504110548699459,5.923809523809524,0.419698975110065,1,always_trade,1,0.419698975110065
2018-04-30,2018-08-16,2018,train,5.504110548699459,5.923809523809524,0.419698975110065,1,lr_filtered,1,0.419698975110065
2018-04-30,2018-08-16,2018,train,5.504110548699459,5.923809523809524,0.419698975110065,1,lgb_filtered,1,0.419698975110065
2018-07-31,2018-11-15,2018,train,16.613408111735662,10.4625,-6.150908111735662,0,always_trade,1,-6.150908111735662
2018-07-31,2018-11-15,2018,train,16.613408111735662,10.4625,-6.150908111735662,0,lr_filtered,0,0.0
2018-07-31,2018-11-15,2018,train,16.613408111735662,10.4625,-6.150908111735662,0,lgb_filtered,0,0.0
2018-10-31,2019-02-14,2018,train,2.9173342086208143,7.483333333333335,4.565999124712521,1,always_trade,1,4.565999124712521
2018-10-31,2019-02-14,2018,train,2.9173342086208143,7.483333333333335,4.565999124712521,1,lr_filtered,1,4.565999124712521
2018-10-31,2019-02-14,2018,train,2.9173342086208143,7.483333333333335,4.565999124712521,1,lgb_filtered,1,4.565999124712521
2019-04-30,2019-08-15,2019,train,6.3237224909135525,7.129032258064516,0.8053097671509635,1,always_trade,1,0.8053097671509635
2019-04-30,2019-08-15,2019,train,6.3237224909135525,7.129032258064516,0.8053097671509635,1,lr_filtered,1,0.8053097671509635
2019-04-30,2019-08-15,2019,train,6.3237224909135525,7.129032258064516,0.8053097671509635,1,lgb_filtered,1,0.8053097671509635
2019-07-31,2019-11-14,2019,train,2.0999928482248076,6.821428571428571,4.721435723203763,1,always_trade,1,4.721435723203763
2019-07-31,2019-11-14,2019,train,2.0999928482248076,6.821428571428571,4.721435723203763,1,lr_filtered,1,4.721435723203763
2019-07-31,2019-11-14,2019,train,2.0999928482248076,6.821428571428571,4.721435723203763,1,lgb_filtered,1,4.721435723203763
2019-10-31,2020-02-13,2019,train,6.329361119591637,7.177570093457944,0.8482089738663072,1,always_trade,1,0.8482089738663072
2019-10-31,2020-02-13,2019,train,6.329361119591637,7.177570093457944,0.8482089738663072,1,lr_filtered,1,0.8482089738663072
2019-10-31,2020-02-13,2019,train,6.329361119591637,7.177570093457944,0.8482089738663072,1,lgb_filtered,1,0.8482089738663072
2020-04-30,2020-08-19,2020,train,0.976667285325894,6.772727272727272,5.796059987401378,1,always_trade,1,5.796059987401378
2020-04-30,2020-08-19,2020,train,0.976667285325894,6.772727272727272,5.796059987401378,1,lr_filtered,1,5.796059987401378
2020-04-30,2020-08-19,2020,train,0.976667285325894,6.772727272727272,5.796059987401378,1,lgb_filtered,1,5.796059987401378
2020-07-31,2020-11-18,2020,train,0.1341065365818128,7.069444444444444,6.935337907862631,1,always_trade,1,6.935337907862631
2020-07-31,2020-11-18,2020,train,0.1341065365818128,7.069444444444444,6.935337907862631,1,lr_filtered,1,6.935337907862631
2020-07-31,2020-11-18,2020,train,0.1341065365818128,7.069444444444444,6.935337907862631,1,lgb_filtered,1,6.935337907862631
2020-10-31,2021-02-24,2020,train,5.900863959849001,6.821739130434781,0.9208751705857798,1,always_trade,1,0.9208751705857798
2020-10-31,2021-02-24,2020,train,5.900863959849001,6.821739130434781,0.9208751705857798,1,lr_filtered,1,0.9208751705857798
2020-10-31,2021-02-24,2020,train,5.900863959849001,6.821739130434781,0.9208751705857798,1,lgb_filtered,1,0.9208751705857798
2021-04-30,2021-08-18,2021,train,1.7473321104032324,5.525,3.777667889596768,1,always_trade,1,3.777667889596768
2021-04-30,2021-08-18,2021,train,1.7473321104032324,5.525,3.777667889596768,1,lr_filtered,1,3.777667889596768
2021-04-30,2021-08-18,2021,train,1.7473321104032324,5.525,3.777667889596768,1,lgb_filtered,1,3.777667889596768
2021-07-31,2021-11-17,2021,train,4.873690723144741,6.383333333333334,1.5096426101885925,1,always_trade,1,1.5096426101885925
2021-07-31,2021-11-17,2021,train,4.873690723144741,6.383333333333334,1.5096426101885925,1,lr_filtered,1,1.5096426101885925
