date,cash,equity,deployed_margin,n_open,realized_pnl_cum,opened,reject_reason
2024-07-01,108747.9,99990.9,2000.0,1,0.0,True,
2024-07-02,117768.79999999999,99981.79999999999,4000.0,2,0.0,True,
2024-07-03,126712.69999999998,99972.69999999998,6000.0,3,0.0,True,
2024-07-05,135439.59999999998,99963.59999999998,8000.0,4,0.0,True,
2024-07-08,144922.49999999997,99954.49999999997,10000.0,5,0.0,True,
2024-07-09,145107.29999999996,99600.29999999996,10000.0,5,-354.2000000000003,True,
2024-07-10,144193.09999999995,98252.09999999995,10000.0,5,-1702.4000000000005,True,
2024-07-11,145014.89999999994,98674.89999999994,10000.0,5,-1279.6000000000013,True,
2024-07-12,145906.69999999992,99482.69999999992,10000.0,5,-471.80000000000155,True,
2024-07-15,145284.79999999993,99556.79999999993,10000.0,5,-399.0000000000023,True,
2024-07-16,144084.89999999994,99000.89999999994,10000.0,5,-956.200000000002,True,
2024-07-17,143327.99999999994,98479.99999999994,10000.0,5,-1478.4000000000024,True,
2024-07-18,142235.09999999995,97259.09999999995,10000.0,5,-2700.600000000003,True,
2024-07-19,137836.79999999993,92568.79999999993,10000.0,5,-7394.800000000003,True,
2024-07-22,136413.79999999993,91133.79999999993,10000.0,5,-8832.400000000003,True,
2024-07-23,132958.79999999993,87850.79999999993,10000.0,5,-12118.000000000002,True,
2024-07-24,128345.79999999993,83181.79999999993,10000.0,5,-16789.600000000002,True,
2024-07-25,124232.79999999993,78992.79999999993,10000.0,5,-20981.200000000004,True,
2024-07-26,122702.39999999994,77578.39999999994,10000.0,5,-22395.600000000006,True,
2024-07-29,119611.99999999994,73959.99999999994,10000.0,5,-26014.000000000007,True,
2024-07-30,113237.59999999995,67177.59999999995,10000.0,5,-32796.40000000001,True,
2024-07-31,115259.19999999995,69491.19999999995,10000.0,5,-30482.80000000001,True,
2024-08-01,115732.79999999996,70236.79999999996,10000.0,5,-29737.20000000001,True,
2024-08-02,111858.39999999997,65818.39999999997,10000.0,5,-34155.60000000001,True,
2024-08-05,102332.29999999997,55977.299999999974,10000.0,5,-43998.000000000015,True,
2024-08-06,95101.19999999998,49576.19999999998,10000.0,5,-50400.400000000016,True,
2024-08-07,81419.09999999999,36939.09999999999,10000.0,5,-63038.80000000002,True,
2024-08-08,78184.7,33744.7,10000.0,5,-66233.20000000001,True,
2024-08-09,78062.3,35006.3,10000.0,5,-64971.60000000001,True,
2024-08-12,81046.20000000001,38801.20000000001,10000.0,5,-61175.400000000016,True,
2024-08-13,82689.80000000002,38697.80000000002,10000.0,5,-61276.20000000002,True,
2024-08-14,82361.40000000002,37646.40000000002,10000.0,5,-62325.00000000002,True,
2024-08-15,81648.40000000002,36601.40000000002,10000.0,5,-63367.40000000002,True,
2024-08-16,79750.00000000003,34343.00000000003,10000.0,5,-65625.80000000002,True,
2024-08-19,75395.60000000003,30808.600000000035,10000.0,5,-69160.20000000001,True,
2024-08-20,71323.90000000004,28461.900000000038,10000.0,5,-71508.20000000001,True,
2024-08-21,67729.20000000004,25565.20000000004,10000.0,5,-74406.20000000001,True,
2024-08-22,65820.20000000004,25132.20000000004,10000.0,5,-74841.80000000002,True,
2024-08-23,67393.80000000005,27249.800000000047,10000.0,5,-72724.20000000001,True,
2024-08-26,67715.40000000005,27499.400000000052,10000.0,5,-72474.6,True,
2024-08-27,70277.70000000006,28371.700000000055,10000.0,5,-71601.0,True,
2024-08-28,69207.30000000006,27469.30000000006,10000.0,5,-72503.4,True,
2024-08-29,71491.60000000006,28553.600000000064,10000.0,5,-71417.79999999999,True,
2024-08-30,73475.90000000007,29129.900000000067,10000.0,5,-70840.19999999998,True,
2024-09-03,70869.50000000007,26327.500000000073,10000.0,5,-73642.59999999998,True,
2024-09-04,64368.800000000076,21140.800000000076,10000.0,5,-78830.59999999998,True,
2024-09-05,61370.40000000008,18222.40000000008,10000.0,5,-81748.99999999997,True,
2024-09-06,42733.90000000008,8885.900000000081,8000.0,4,-91091.99999999997,False,margin
2024-09-09,25527.400000000078,1059.4000000000779,6000.0,3,-98924.99999999997,False,margin
2024-09-10,16234.200000000077,54.200000000077125,4000.0,2,-99935.39999999997,False,margin
2024-09-11,9137.000000000076,1413.0000000000755,2000.0,1,-98581.79999999996,False,margin
2024-09-12,11598.300000000076,2813.3000000000757,2000.0,1,-97180.19999999995,True,
2024-09-13,11598.300000000076,2813.3000000000757,2000.0,1,-97180.19999999995,False,margin
2024-09-16,11598.300000000076,2813.3000000000757,2000.0,1,-97180.19999999995,False,margin
2024-09-17,11598.300000000076,2813.3000000000757,2000.0,1,-97180.19999999995,False,margin
2024-09-18,11598.300000000076,2813.3000000000757,2000.0,1,-97180.19999999995,False,margin
2024-09-19,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-20,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-23,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-24,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-25,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-26,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-27,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-09-30,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-01,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-02,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-03,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-04,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-07,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-08,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-09,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-10,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-11,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-14,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-15,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-16,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-17,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-18,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-21,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-22,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-23,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-24,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-25,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-28,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-29,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-30,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-10-31,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-01,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-04,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-05,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-06,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-07,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-08,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-11,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-12,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-13,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-14,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-15,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-18,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-19,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-20,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-21,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-22,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-25,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-26,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-27,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-11-29,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-02,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-03,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-04,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-05,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-06,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-09,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-10,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-11,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-12,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-13,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-16,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-17,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-18,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-19,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-20,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-23,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-24,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-26,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-27,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-30,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2024-12-31,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-02,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-03,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-06,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-07,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-08,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
2025-01-10,1956.8000000000757,1956.8000000000757,0.0,0,-98043.19999999995,False,margin
