date,cash,equity,deployed_margin,n_open,realized_pnl_cum,opened,reject_reason
2024-07-01,100000.0,100000.0,0.0,0,0.0,False,
2024-07-02,100000.0,100000.0,0.0,0,0.0,False,
2024-07-03,100000.0,100000.0,0.0,0,0.0,False,
2024-07-05,100000.0,100000.0,0.0,0,0.0,False,
2024-07-08,100000.0,100000.0,0.0,0,0.0,False,
2024-07-09,100000.0,100000.0,0.0,0,0.0,False,
2024-07-10,100000.0,100000.0,0.0,0,0.0,False,
2024-07-11,100000.0,100000.0,0.0,0,0.0,False,
2024-07-12,100000.0,100000.0,0.0,0,0.0,False,
2024-07-15,108788.2,99992.2,2000.0,1,0.0,True,
2024-07-16,108788.2,99992.2,2000.0,1,0.0,False,
2024-07-17,108788.2,99992.2,2000.0,1,0.0,False,
2024-07-18,108788.2,99992.2,2000.0,1,0.0,False,
2024-07-19,108788.2,99992.2,2000.0,1,0.0,False,
2024-07-22,98562.4,98562.4,0.0,0,-1437.6000000000006,False,
2024-07-23,98562.4,98562.4,0.0,0,-1437.6000000000006,False,
2024-07-24,107841.2,98557.2,2000.0,1,-1437.6000000000006,True,
2024-07-25,107841.2,98557.2,2000.0,1,-1437.6000000000006,False,
2024-07-26,107841.2,98557.2,2000.0,1,-1437.6000000000006,False,
2024-07-29,107841.2,98557.2,2000.0,1,-1437.6000000000006,False,
2024-07-30,107841.2,98557.2,2000.0,1,-1437.6000000000006,False,
2024-07-31,100876.0,100876.0,0.0,0,875.9999999999989,False,
2024-08-01,100876.0,100876.0,0.0,0,875.9999999999989,False,
2024-08-02,110410.8,100870.8,2000.0,1,875.9999999999989,True,
2024-08-05,120057.90000000001,100866.90000000001,4000.0,2,875.9999999999989,True,
2024-08-06,128112.00000000001,100863.00000000001,6000.0,3,875.9999999999989,True,
2024-08-07,136055.1,100859.1,8000.0,4,875.9999999999989,True,
2024-08-08,136055.1,100859.1,8000.0,4,875.9999999999989,False,
2024-08-09,127781.90000000001,102125.90000000001,6000.0,3,2137.5999999999985,False,
2024-08-12,121931.00000000001,105926.00000000001,4000.0,2,5933.799999999998,False,
2024-08-13,123574.60000000002,105822.60000000002,4000.0,2,5832.999999999997,True,
2024-08-14,114582.70000000003,104777.70000000003,2000.0,1,4784.199999999998,False,
2024-08-15,124150.90000000002,104769.90000000002,4000.0,2,4784.199999999998,True,
2024-08-16,124150.90000000002,104769.90000000002,4000.0,2,4784.199999999998,False,
2024-08-19,124150.90000000002,104769.90000000002,4000.0,2,4784.199999999998,False,
2024-08-20,112004.40000000002,102428.40000000002,2000.0,1,2436.199999999997,False,
2024-08-21,112004.40000000002,102428.40000000002,2000.0,1,2436.199999999997,False,
2024-08-22,102000.60000000002,102000.60000000002,0.0,0,2000.5999999999976,False,
2024-08-23,102000.60000000002,102000.60000000002,0.0,0,2000.5999999999976,False,
2024-08-26,102000.60000000002,102000.60000000002,0.0,0,2000.5999999999976,False,
2024-08-27,102000.60000000002,102000.60000000002,0.0,0,2000.5999999999976,False,
