date,cash,equity,deployed_margin,n_open,realized_pnl_cum,opened,reject_reason
2024-07-01,100000.0,100000.0,0.0,0,0.0,False,
2024-07-02,109020.9,99990.9,2000.0,1,0.0,True,
2024-07-03,117964.79999999999,99981.79999999999,4000.0,2,0.0,True,
2024-07-05,126691.69999999998,99972.69999999998,6000.0,3,0.0,True,
2024-07-08,136174.59999999998,99963.59999999998,8000.0,4,0.0,True,
2024-07-09,145461.49999999997,99954.49999999997,10000.0,5,0.0,True,
2024-07-10,144547.29999999996,98606.29999999996,10000.0,5,-1348.2000000000003,True,
2024-07-11,145369.09999999995,99029.09999999995,10000.0,5,-925.400000000001,True,
2024-07-12,137449.99999999994,99845.99999999994,8000.0,4,-117.60000000000127,False,
2024-07-15,136828.09999999995,99920.09999999995,8000.0,4,-44.80000000000197,True,
2024-07-16,135628.19999999995,99364.19999999995,8000.0,4,-602.0000000000017,True,
2024-07-17,125651.09999999995,98851.09999999995,6000.0,3,-1124.200000000002,False,
2024-07-18,124558.19999999994,97630.19999999994,6000.0,3,-2346.4000000000024,True,
2024-07-19,133664.99999999994,97624.99999999994,8000.0,4,-2346.4000000000024,True,
2024-07-22,123439.19999999994,96195.19999999994,6000.0,3,-3784.0000000000027,False,
2024-07-23,111509.39999999994,92917.39999999994,4000.0,2,-7069.600000000002,False,
2024-07-24,111509.39999999994,92917.39999999994,4000.0,2,-7069.600000000002,False,
2024-07-25,97845.59999999993,88733.59999999993,2000.0,1,-11261.200000000004,False,
2024-07-26,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-07-29,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-07-30,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-07-31,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-08-01,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-08-02,87324.39999999994,87324.39999999994,0.0,0,-12675.600000000006,False,
2024-08-05,96971.49999999994,87320.49999999994,2000.0,1,-12675.600000000006,True,
2024-08-06,96971.49999999994,87320.49999999994,2000.0,1,-12675.600000000006,False,
2024-08-07,96971.49999999994,87320.49999999994,2000.0,1,-12675.600000000006,False,
2024-08-08,96971.49999999994,87320.49999999994,2000.0,1,-12675.600000000006,False,
2024-08-09,96971.49999999994,87320.49999999994,2000.0,1,-12675.600000000006,False,
2024-08-12,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-13,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-14,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-15,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-16,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-19,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-20,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-21,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-22,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-23,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-26,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-27,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-28,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-29,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-08-30,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-03,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-04,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-05,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-06,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-09,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-10,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-11,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-12,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-13,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
2024-09-16,91120.59999999995,91120.59999999995,0.0,0,-8879.400000000005,False,
