date,spot,spy_close,atm_iv_30d,atm_iv_60d,atm_iv_90d,term_slope_30_60,term_slope_30_90,backwardation_flag,iv_25d_put,iv_25d_call,risk_reversal_25d,butterfly_25d,iv_rank_30d,iv_rank_252d,iv_percentile_252d,rv_5d,rv_21d,vrp_30d,vol_expansion,pc_ratio,pc_ratio_z_20d,voi_ratio,voi_ratio_z_20d,spy_ret_5d,spy_ret_21d,spy_dd_from_60d_high,spy_above_200d_ma,vix_close,vix3m_close,vix_minus_atm_iv_30d
2021-06-23,421.0,395.99249267578125,0.12219,0.13752178571428572,0.14658,0.015331785714285728,0.024389999999999995,0,0.16122,0.09292,0.0683,0.004880000000000023,,,,0.1612273538261483,0.08620558631202924,0.03598441368797076,1.8702657301415562,1.1,,0.3312459845476065,,0.0044362488361717745,0.011481227015213147,-0.003004076840686709,1,16.31999969482422,19.700000762939453,4.100999694824219
2021-06-24,424.0,398.3350830078125,0.11244000000000001,0.13299464285714288,0.14357692307692307,0.02055464285714287,0.031136923076923062,0,0.15146,0.09292,0.05854000000000001,0.009749999999999995,,,,0.16430203642735827,0.0875032718746046,0.024936728125395408,1.8776673478313943,1.32,,0.3498342531566393,,0.01071332692028193,0.019727216896886945,0.0,1,15.970000267028809,19.260000228881836,4.726000267028807
2021-06-25,425.0,399.74993896484375,0.11244000000000001,0.12428071428571429,0.136825,0.011840714285714274,0.02438499999999999,0,0.1417,0.08642,0.055279999999999996,0.0016199999999999826,,,,0.08870650698348824,0.08790670829854268,0.024533291701457335,1.0090982667924426,1.17,,0.42072008829194985,,0.02817394695224551,0.02132230575002869,0.0,1,15.619999885559082,19.0,4.3759998855590805
2021-06-28,426.0,400.5558776855469,0.11244,0.12584874999999998,0.136825,0.013408749999999983,0.024385000000000004,0,0.15146,0.09292,0.05854000000000001,0.009750000000000009,,,,0.04541077959483807,0.08795562699769939,0.024484373002300608,0.5162919206525111,1.34,,0.4478365630904523,,0.015706151146380742,0.02284467918604549,0.0,1,15.760000228881836,19.020000457763672,4.516000228881836
2021-06-29,426.0,400.7714538574219,0.117315,0.13125,0.14545384615384616,0.013935000000000003,0.028138846153846153,0,0.15146,0.09292,0.05854000000000001,0.004875000000000004,,,,0.04338548536946881,0.08793471582389563,0.029380284176104374,0.49338290302041454,1.23,-0.019832137243624322,0.2717569470796343,-1.307553447383209,0.010848365805999016,0.021567655541071096,0.0,1,16.020000457763672,19.489999771118164,4.288500457763671
2021-06-30,427.0,401.1086730957031,0.117315,0.13177250000000001,0.1417,0.014457500000000012,0.02438499999999999,0,0.15146,0.09292,0.05854000000000001,0.004875000000000004,,,,0.03501091735765177,0.08766841863799721,0.029646581362002794,0.3993560954055735,1.12,-0.9229320471562186,0.28439344438118813,-0.9350154671903163,0.012919892458947979,0.02332882483632681,0.0,1,15.829999923706055,19.510000228881836,4.098499923706054
2021-07-01,429.0,403.32952880859375,0.11244000000000001,0.12741678571428572,0.14132961538461541,0.014976785714285706,0.028889615384615402,0,0.15146,0.09292,0.05854000000000001,0.009749999999999995,1.4233628520835349e-15,,,0.03278387768758942,0.08899495476934519,0.023445045230654826,0.3683790589315745,1.49,1.7000845251016297,0.44487155795833894,1.086925471122119,0.01253830258451849,0.027378913576289188,0.0,1,15.479999542236328,19.450000762939453,4.235999542236327
2021-07-02,432.0,406.4123840332031,0.10755999999999999,0.1279394642857143,0.136825,0.0203794642857143,0.029265000000000013,0,0.1417,0.09292,0.04877999999999999,0.009750000000000009,0.0,,,0.04949040575589989,0.08962166722570486,0.01793833277429513,0.5522147410096974,1.24,-0.08705976839147495,1.5586866588966588,2.4428809497584405,0.01666653179638211,0.03908826786280528,0.0,1,15.069999694824219,19.299999237060547,4.31399969482422
2021-07-06,431.0,405.67205810546875,0.1197525,0.13752178571428572,0.14788133333333334,0.017769285714285724,0.02812883333333334,0,0.16122,0.09292,0.0683,0.0073175000000000184,0.8333902939166101,,,0.061773990466238195,0.08637519493825144,0.03337730506174856,0.7151820671478618,1.26,0.06432652574821163,0.7868052998748549,0.591619354063498,0.012772700901266809,0.027795264571189637,-0.001821612620135804,1,16.440000534057617,20.260000228881836,4.464750534057618
2021-07-07,433.0,407.10577392578125,0.12219,0.14031,0.14820666666666665,0.018119999999999997,0.02601666666666666,0,0.15146,0.10268,0.04878000000000002,0.004880000000000023,1.0,,,0.059270589831190205,0.08628716457997833,0.035902835420021664,0.6868992638673757,1.19,-0.48408754433594203,0.5789413178350121,0.08120580409448404,0.015805317488038595,0.03242948312130167,0.0,1,16.200000762939453,20.40999984741211,3.9810007629394537
2021-07-08,429.0,403.7886962890625,0.1417,0.15378380952380954,0.15829,0.012083809523809552,0.016589999999999994,0,0.18723,0.10918666666666668,0.07804333333333333,0.006508333333333338,1.0,,,0.10111905183827853,0.09256071154994427,0.04913928845005572,1.0924619111610472,1.26,0.11588546337952603,3.4921922850644544,2.7862197528175834,0.006681538877420179,0.023798847658853983,-0.008147950358777023,1,19.0,21.979999542236328,4.83
2021-07-09,434.0,408.0990295410156,0.11894,0.13450357142857144,0.14658,0.01556357142857144,0.027639999999999984,0,0.15146,0.09292,0.05854000000000001,0.003250000000000003,0.33333333333333376,,,0.11926747668869428,0.09762237431012462,0.021317625689875386,1.22172276111425,1.19,-0.49522492362028975,1.0234682133204633,0.2079462259156299,0.011825319972258441,0.03627395793650767,0.0,1,16.18000030517578,20.440000534057617,4.286000305175781
