strategy,n_trades,win_rate,avg_pnl_dollars,total_pnl_dollars,total_return_on_100k,sharpe,max_drawdown
logreg,689,0.4688,-135.88,-93623.25,-0.9362,-5.5584,-0.9456
lgbm,818,0.5159,-114.49,-93655.6,-0.9366,-3.3711,-0.9366
xgb,544,0.5,-142.7,-77631.45,-0.7796,-3.3408,-0.7797
always_short,4853,0.4964,-164.17,-796720.75,-8.0222,-6.3449,-8.0319
vrp_only,3541,0.4838,-162.39,-575031.6,-5.7878,-6.6325,-5.7975
