date,pnl,cum_pnl,equity
2024-10-01,302.8999999999999,302.8999999999999,100302.9
2024-10-21,46.90000000000006,349.79999999999995,100349.8
2024-10-22,390.3500000000001,740.1500000000001,100740.15
2024-10-23,-1551.4499999999998,-811.2999999999997,99188.7
2024-10-24,779.2000000000004,-32.09999999999934,99967.9
2024-11-07,145.65000000000003,113.5500000000007,100113.55
2024-11-21,-430.85,-317.29999999999933,99682.7
2024-11-26,101.90000000000002,-215.3999999999993,99784.6
2024-12-19,3627.5500000000006,3412.1500000000015,103412.15
2025-01-17,456.65000000000043,3868.800000000002,103868.8
2025-01-21,-922.3000000000002,2946.500000000002,102946.5
2025-01-22,136.39999999999998,3082.900000000002,103082.90000000001
2025-01-23,174.14999999999992,3257.050000000002,103257.05
2025-01-27,91.90000000000009,3348.950000000002,103348.95
2025-01-29,127.89999999999995,3476.850000000002,103476.85
2025-01-30,52.90000000000001,3529.7500000000023,103529.75
2025-02-03,243.4000000000001,3773.1500000000024,103773.15000000001
2025-02-04,-1004.2000000000004,2768.950000000002,102768.95
2025-02-06,-1071.0999999999997,1697.8500000000024,101697.85
2025-02-28,-39.35,1658.5000000000025,101658.5
2025-03-25,109.9,1768.4000000000026,101768.40000000001
2025-04-22,171.89999999999995,1940.3000000000025,101940.3
2025-05-08,-17.199999999999996,1923.1000000000024,101923.1
2025-05-20,240.90000000000018,2164.0000000000027,102164.0
2025-05-22,-246.7,1917.3000000000027,101917.3
2025-05-29,-454.1000000000001,1463.2000000000025,101463.2
2025-06-26,105.90000000000005,1569.1000000000026,101569.1
2025-07-10,-250.7,1318.4000000000026,101318.40000000001
2025-07-21,643.9999999999997,1962.4000000000024,101962.40000000001
2025-07-22,-4084.15,-2121.7499999999977,97878.25
2025-07-23,-2472.7499999999995,-4594.499999999997,95405.5
2025-07-24,-1209.5,-5803.999999999997,94196.0
2025-07-25,1340.2999999999997,-4463.699999999997,95536.3
2025-07-28,283.85,-4179.849999999997,95820.15000000001
2025-07-29,-1950.5500000000002,-6130.399999999997,93869.6
2025-07-30,-2662.75,-8793.149999999998,91206.85
2025-07-31,-434.65000000000003,-9227.799999999997,90772.2
2025-08-01,-403.19999999999993,-9630.999999999998,90369.0
2025-08-04,-9676.999999999998,-19307.999999999996,80692.0
2025-08-06,-175.60000000000014,-19483.599999999995,80516.40000000001
2025-08-07,458.6999999999998,-19024.899999999994,80975.1
2025-08-14,91.9000000000002,-18932.999999999993,81067.0
2025-08-19,295.39999999999986,-18637.59999999999,81362.40000000001
2025-08-20,112.39999999999995,-18525.19999999999,81474.80000000002
2025-08-27,-47.39999999999998,-18572.59999999999,81427.40000000001
2025-08-28,394.5500000000002,-18178.049999999992,81821.95000000001
2025-09-18,237.4,-17940.64999999999,82059.35
2025-09-30,-143.44999999999987,-18084.09999999999,81915.90000000001
2025-10-07,-71.85,-18155.94999999999,81844.05000000002
2025-10-09,305.8,-17850.14999999999,82149.85
2025-10-15,185.75000000000006,-17664.39999999999,82335.6
2025-10-16,1230.7999999999997,-16433.59999999999,83566.40000000001
2025-10-17,397.3500000000001,-16036.24999999999,83963.75000000001
2025-10-20,-335.7,-16371.949999999992,83628.05
2025-10-21,1693.7499999999998,-14678.199999999992,85321.8
2025-10-22,-4339.4,-19017.59999999999,80982.40000000001
2025-10-23,1010.2000000000003,-18007.39999999999,81992.6
2025-10-24,-864.1000000000006,-18871.499999999993,81128.5
2025-10-27,-2993.05,-21864.549999999992,78135.45000000001
2025-10-28,-7755.649999999998,-29620.19999999999,70379.80000000002
2025-10-29,-6500.35,-36120.54999999999,63879.45000000001
2025-10-30,-2451.0499999999984,-38571.599999999984,61428.400000000016
2025-10-31,3520.3500000000013,-35051.249999999985,64948.750000000015
2025-11-03,-3677.7500000000005,-38728.999999999985,61271.000000000015
2025-11-04,-2044.5499999999977,-40773.54999999998,59226.45000000002
2025-11-05,-2367.6000000000004,-43141.14999999998,56858.85000000002
2025-11-06,-2135.0999999999995,-45276.24999999998,54723.75000000002
2025-11-07,860.3999999999999,-44415.84999999998,55584.15000000002
2025-11-10,26.150000000000002,-44389.699999999975,55610.300000000025
