symbol,date,status
DTE,2021-07-28,cached
ECL,2021-07-26,cached
ECL,2021-07-28,cached
EQR,2021-07-26,cached
EQR,2021-07-28,cached
EXR,2021-07-26,cached
EXR,2021-07-28,cached
GE,2021-07-26,cached
GE,2021-07-28,cached
GLW,2021-07-26,cached
GLW,2021-07-28,cached
GOOG,2021-07-26,cached
GOOG,2021-07-28,cached
GOOGL,2021-07-26,cached
GOOGL,2021-07-28,cached
HOOD,2021-07-26,cached
HOOD,2021-07-28,cached
HUBB,2021-07-26,cached
HUBB,2021-07-28,cached
IEX,2021-07-26,cached
IEX,2021-07-28,cached
IVZ,2021-07-26,cached
IVZ,2021-07-28,cached
MDLZ,2021-07-26,cached
MDLZ,2021-07-28,cached
MMM,2021-07-26,cached
MMM,2021-07-28,cached
MPWR,2021-07-26,cached
MPWR,2021-07-28,cached
MSCI,2021-07-26,cached
MSCI,2021-07-28,cached
PCAR,2021-07-26,cached
PCAR,2021-07-28,cached
PFG,2021-07-26,cached
PFG,2021-07-28,cached
PHM,2021-07-26,cached
PHM,2021-07-28,cached
PNR,2021-07-26,cached
PNR,2021-07-28,cached
ROK,2021-07-26,cached
ROK,2021-07-28,cached
RTX,2021-07-26,cached
RTX,2021-07-28,cached
SBUX,2021-07-26,cached
SBUX,2021-07-28,cached
SHW,2021-07-26,cached
SHW,2021-07-28,cached
SWK,2021-07-26,cached
SWK,2021-07-28,cached
SYK,2021-07-26,cached
SYK,2021-07-28,cached
TER,2021-07-26,cached
TER,2021-07-28,cached
UPS,2021-07-26,cached
UPS,2021-07-28,cached
V,2021-07-26,cached
V,2021-07-28,cached
WM,2021-07-26,cached
WM,2021-07-28,cached
ACGL,2021-07-27,cached
ACGL,2021-07-29,cached
AFL,2021-07-27,cached
AFL,2021-07-29,cached
ALGN,2021-07-27,cached
ALGN,2021-07-29,cached
APH,2021-07-27,cached
APH,2021-07-29,cached
AVB,2021-07-27,cached
AVB,2021-07-29,cached
AVY,2021-07-27,cached
AVY,2021-07-29,cached
BA,2021-07-27,cached
BA,2021-07-29,cached
BG,2021-07-27,cached
BG,2021-07-29,cached
BMY,2021-07-27,cached
BMY,2021-07-29,cached
CINF,2021-07-27,cached
CINF,2021-07-29,cached
CME,2021-07-27,cached
CME,2021-07-29,cached
CTSH,2021-07-27,cached
CTSH,2021-07-29,cached
EG,2021-07-27,cached
EG,2021-07-29,cached
EQIX,2021-07-27,cached
EQIX,2021-07-29,cached
EQT,2021-07-27,cached
EQT,2021-07-29,cached
F,2021-07-27,cached
F,2021-07-29,cached
GD,2021-07-27,cached
GD,2021-07-29,cached
GNRC,2021-07-27,cached
GNRC,2021-07-29,cached
GRMN,2021-07-27,cached
GRMN,2021-07-29,cached
HIG,2021-07-27,cached
HIG,2021-07-29,cached
HOLX,2021-07-27,cached
HOLX,2021-07-29,cached
HUM,2021-07-27,cached
HUM,2021-07-29,cached
INVH,2021-07-27,cached
INVH,2021-07-29,cached
MAA,2021-07-27,cached
MAA,2021-07-29,cached
MCD,2021-07-27,cached
MCD,2021-07-29,cached
MCO,2021-07-27,cached
MCO,2021-07-29,cached
META,2021-07-27,cached
META,2021-07-29,cached
MOH,2021-07-27,cached
MOH,2021-07-29,cached
NOW,2021-07-27,cached
NOW,2021-07-29,cached
NSC,2021-07-27,cached
NSC,2021-07-29,cached
ODFL,2021-07-27,cached
ODFL,2021-07-29,cached
ORLY,2021-07-27,cached
ORLY,2021-07-29,cached
PFE,2021-07-27,cached
PFE,2021-07-29,cached
PTC,2021-07-27,cached
PTC,2021-07-29,cached
PYPL,2021-07-27,cached
PYPL,2021-07-29,cached
QCOM,2021-07-27,cached
QCOM,2021-07-29,cached
RJF,2021-07-27,cached
RJF,2021-07-29,cached
ROL,2021-07-27,cached
ROL,2021-07-29,cached
TDY,2021-07-27,cached
TDY,2021-07-29,cached
TEL,2021-07-27,cached
TEL,2021-07-29,cached
TMO,2021-07-27,cached
TMO,2021-07-29,cached
TYL,2021-07-27,cached
TYL,2021-07-29,cached
UDR,2021-07-27,cached
UDR,2021-07-29,cached
URI,2021-07-27,cached
URI,2021-07-29,cached
VICI,2021-07-27,cached
VICI,2021-07-29,cached
AJG,2021-07-28,cached
AJG,2021-07-30,cached
AMT,2021-07-28,cached
AMT,2021-07-30,cached
AMZN,2021-07-28,cached
AMZN,2021-07-30,cached
AOS,2021-07-28,cached
AOS,2021-07-30,cached
BAX,2021-07-28,cached
BAX,2021-07-30,cached
CARR,2021-07-28,cached
CARR,2021-07-30,cached
CBRE,2021-07-28,cached
CBRE,2021-07-30,cached
CMCSA,2021-07-28,cached
CMCSA,2021-07-30,cached
CMS,2021-07-28,cached
CMS,2021-07-30,cached
CPT,2021-07-28,cached
CPT,2021-07-30,cached
DECK,2021-07-28,cached
DECK,2021-07-30,cached
DLR,2021-07-28,cached
DLR,2021-07-30,cached
DXCM,2021-07-28,cached
DXCM,2021-07-30,cached
EIX,2021-07-28,cached
EIX,2021-07-30,cached
EME,2021-07-28,cached
EME,2021-07-30,cached
ERIE,2021-07-28,cached
ERIE,2021-07-30,cached
ES,2021-07-28,cached
ES,2021-07-30,cached
ESS,2021-07-28,cached
ESS,2021-07-30,cached
EW,2021-07-28,cached
EW,2021-07-30,cached
FSLR,2021-07-28,cached
FSLR,2021-07-30,cached
FTNT,2021-07-28,cached
FTNT,2021-07-30,cached
FTV,2021-07-28,cached
FTV,2021-07-30,cached
GILD,2021-07-28,cached
GILD,2021-07-30,cached
HBAN,2021-07-28,cached
HBAN,2021-07-30,cached
HLT,2021-07-28,cached
HLT,2021-07-30,cached
ICE,2021-07-28,cached
ICE,2021-07-30,cached
IP,2021-07-28,cached
IP,2021-07-30,cached
KDP,2021-07-28,cached
KDP,2021-07-30,cached
KIM,2021-07-28,cached
KIM,2021-07-30,cached
LH,2021-07-28,cached
LH,2021-07-30,cached
LKQ,2021-07-28,cached
LKQ,2021-07-30,cached
MA,2021-07-28,cached
MA,2021-07-30,cached
MAS,2021-07-28,cached
MAS,2021-07-30,cached
MHK,2021-07-28,cached
MHK,2021-07-30,cached
MLM,2021-07-28,cached
MLM,2021-07-30,cached
MO,2021-07-28,cached
MO,2021-07-30,cached
MRK,2021-07-28,cached
MRK,2021-07-30,cached
MTD,2021-07-28,cached
MTD,2021-07-30,cached
NOC,2021-07-28,cached
NOC,2021-07-30,cached
PCG,2021-07-28,cached
PCG,2021-07-30,cached
RSG,2021-07-28,cached
RSG,2021-07-30,cached
SO,2021-07-28,cached
SO,2021-07-30,cached
SPGI,2021-07-28,cached
SPGI,2021-07-30,cached
SWKS,2021-07-28,cached
SWKS,2021-07-30,cached
TAP,2021-07-28,cached
TAP,2021-07-30,cached
TMUS,2021-07-28,cached
TMUS,2021-07-30,cached
TROW,2021-07-28,cached
TROW,2021-07-30,cached
TXT,2021-07-28,cached
TXT,2021-07-30,cached
VLO,2021-07-28,cached
VLO,2021-07-30,cached
VRTX,2021-07-28,cached
VRTX,2021-07-30,cached
WAB,2021-07-28,cached
WAB,2021-07-30,cached
WELL,2021-07-28,cached
WELL,2021-07-30,cached
WST,2021-07-28,cached
WST,2021-07-30,cached
XEL,2021-07-28,cached
XEL,2021-07-30,cached
YUM,2021-07-28,cached
YUM,2021-07-30,cached
ABBV,2021-07-29,cached
ABBV,2021-08-02,cached
AON,2021-07-29,cached
AON,2021-08-02,cached
CAT,2021-07-29,cached
CAT,2021-08-02,cached
CBOE,2021-07-29,cached
CBOE,2021-08-02,cached
CHD,2021-07-29,cached
CHD,2021-08-02,cached
CHTR,2021-07-29,cached
CHTR,2021-08-02,cached
CL,2021-07-29,cached
CL,2021-08-02,cached
