ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d
BAC,2021-06-30,2021-07-14,1.0,41.36,38.74,-6.04,0.31,0.77,0.92,0.68,21.0,0.77,0.77,0.75,0.68,1.0,4.0,7.0,0.0,21829700000.0,22065000000.0,21587000000.0,6.0,3248.8,2764.96,201.6,165.65,37.07,-66.74,-7.36,132.43,45.76,93.98,102.3,9.3,11.98,40.0,39.0,40.0,0.565,0.675,1.24,3.1,0.43438,0.42462,0.4295,0.27341,36.342258440046564,-0.16585,31418.0,23449.0,0.8247211688601384,3.0,2.500000000000002,1,0.5999999999999979,2021-07-13,434.0,408.1645812988281,0.13195,0.1451857142857142,0.1550386666666666,0.0132357142857142,0.0230886666666666,0,0.17097,0.10268,0.06829,0.0048749999999999,0.714411247803164,,,0.1147659240338696,0.0988548268055707,0.0330951731944293,1.160954176366048,1.09,-1.2251545851389145,0.4583894485782228,-0.4049996511515502,0.0061441825818611,0.0299429358039924,-0.0034090414595951,1,17.1200008392334,21.1299991607666,3.925000839233398
BLK,2021-06-30,2021-07-14,1.0,876.78,817.84,0.4,7.64,9.36,9.86,8.74,13.0,9.3,9.25,9.23,9.04,5.0,0.0,8.0,0.0,4605190000.0,4714000000.0,4544000000.0,9.0,20447.2,15887.2,1962.67,1554.45,18.54,-72.86,12.39,17.73,-23.67,107.96,125.88,-0.69,16.69,910.0,880.0,910.0,12.2,14.149999999999999,26.349999999999998,2.895604395604395,0.39536,0.40511,0.400235,0.22463,43.87547315951878,-0.16585,393.0,485.0,0.8657021276595744,3.0,3.296703296703296,0,-0.401098901098901,2021-07-13,434.0,408.1645812988281,0.13195,0.1451857142857142,0.1550386666666666,0.0132357142857142,0.0230886666666666,0,0.17097,0.10268,0.06829,0.0048749999999999,0.714411247803164,,,0.1147659240338696,0.0988548268055707,0.0330951731944293,1.160954176366048,1.09,-1.2251545851389145,0.4583894485782228,-0.4049996511515502,0.0061441825818611,0.0299429358039924,-0.0034090414595951,1,17.1200008392334,21.1299991607666,3.925000839233398
C,2021-06-30,2021-07-14,1.0,75.16,72.54,-9.3,-6.02,1.96,2.23,1.49,19.0,2.02,2.04,2.0,1.9,1.0,4.0,8.0,0.0,17197300000.0,17626000000.0,16163000000.0,16.0,8271.2,4593.12,2126.93,525.8,-18.54,-75.57,-15.76,241.51,74.88,177.95,229.57,47.51,35.75,68.5,68.5,68.5,0.935,0.97,1.905,2.781021897810219,0.40511,0.36609,0.38560000000000005,0.26853,30.360477178423253,-0.11219500000000004,2143.0,3456.0,0.6348060592150563,3.0,0.0,1,2.781021897810219,2021-07-13,434.0,408.1645812988281,0.13195,0.1451857142857142,0.1550386666666666,0.0132357142857142,0.0230886666666666,0,0.17097,0.10268,0.06829,0.0048749999999999,0.714411247803164,,,0.1147659240338696,0.0988548268055707,0.0330951731944293,1.160954176366048,1.09,-1.2251545851389145,0.4583894485782228,-0.4049996511515502,0.0061441825818611,0.0299429358039924,-0.0034090414595951,1,17.1200008392334,21.1299991607666,3.925000839233398
DAL,2021-06-30,2021-07-14,1.0,45.9,46.82,-11.37,-13.11,-1.4,-1.03,-1.78,17.0,-1.43,-1.42,-1.43,-1.02,0.0,1.0,1.0,0.0,6202920000.0,6675000000.0,5491000000.0,13.0,842.4,2322.4,-141.33,778.51,-51.7,-75.72,-68.06,-596.08,-40.32,-541.33,-240.98,-55.18,-28.92,41.0,41.0,41.0,1.0150000000000001,0.65,1.665,4.060975609756098,0.57096,0.54169,0.556325,0.3856,30.68799712398328,-0.19511499999999993,396.0,1699.0,0.34522655290543597,3.0,0.0,1,4.060975609756098,2021-07-13,434.0,408.1645812988281,0.13195,0.1451857142857142,0.1550386666666666,0.0132357142857142,0.0230886666666666,0,0.17097,0.10268,0.06829,0.0048749999999999,0.714411247803164,,,0.1147659240338696,0.0988548268055707,0.0330951731944293,1.160954176366048,1.09,-1.2251545851389145,0.4583894485782228,-0.4049996511515502,0.0061441825818611,0.0299429358039924,-0.0034090414595951,1,17.1200008392334,21.1299991607666,3.925000839233398
WFC,2021-06-30,2021-07-14,1.0,45.15,42.24,-0.44,6.42,0.97,1.23,0.78,22.0,0.94,0.93,0.91,0.74,2.0,2.0,10.0,0.0,17750100000.0,18032000000.0,17357000000.0,16.0,-1061.6,-1794.08,589.87,402.27,-6.45,-75.96,-20.66,10200.0,60.94,205.73,742.02,34.15,25.14,43.0,45.0,43.0,0.99,0.75,1.74,4.046511627906977,0.56121,0.55145,0.55633,0.302675,45.59434148796577,-0.24389499999999997,3360.0,5560.0,0.8341530828590803,3.0,4.651162790697683,0,-0.6046511627907059,2021-07-13,434.0,408.1645812988281,0.13195,0.1451857142857142,0.1550386666666666,0.0132357142857142,0.0230886666666666,0,0.17097,0.10268,0.06829,0.0048749999999999,0.714411247803164,,,0.1147659240338696,0.0988548268055707,0.0330951731944293,1.160954176366048,1.09,-1.2251545851389145,0.4583894485782228,-0.4049996511515502,0.0061441825818611,0.0299429358039924,-0.0034090414595951,1,17.1200008392334,21.1299991607666,3.925000839233398
UNH,2021-06-30,2021-07-15,1.0,400.28,391.01,4.94,7.43,4.43,4.64,4.25,22.0,4.43,4.44,4.45,4.34,0.0,1.0,0.0,0.0,69445200000.0,70728000000.0,67240000000.0,15.0,11959.2,9535.52,978.13,688.66,8.96,-72.7,6.33,42.74,110.71,31.09,34.89,0.82,1.84,415.0,420.0,415.0,4.125,4.225,8.35,2.012048192771084,0.34658,0.33682,0.3417,0.18560500000000002,45.68188469417617,-0.14146,1056.0,1007.0,0.877850363613953,2.0,1.2048192771084265,1,0.8072289156626575,2021-07-14,435.0,408.7737121582031,0.12707,0.1442573809523809,0.1504839999999999,0.0171873809523809,0.0234139999999999,0,0.16122,0.10268,0.05854,0.0048799999999999,0.5714704159343885,,,0.1130898460927605,0.0988095055313372,0.0282604944686628,1.1445239553080688,1.37,1.2240169397543912,0.504023582737964,-0.3387932536795793,0.0040970635624686,0.029175380984066,-0.0019217632026495,1,16.329999923706055,20.6200008392334,3.622999923706054
USB,2021-06-30,2021-07-15,1.0,58.51,57.86,0.53,1.66,1.14,1.28,0.99,21.0,1.1,1.08,1.06,0.99,3.0,1.0,13.0,0.0,5622860000.0,5791000000.0,5514480000.0,11.0,3762.4,2702.88,470.4,419.18,-13.84,-77.33,-9.22,101.39,52.63,92.22,100.97,37.99,28.87,57.0,57.0,57.0,0.7,0.69,1.39,2.4385964912280698,0.41487,0.40511,0.40999,0.21975499999999998,46.399912192980324,-0.17073000000000002,547.0,584.0,1.5177195685670262,2.0,0.0,1,2.4385964912280698,2021-07-14,435.0,408.7737121582031,0.12707,0.1442573809523809,0.1504839999999999,0.0171873809523809,0.0234139999999999,0,0.16122,0.10268,0.05854,0.0048799999999999,0.5714704159343885,,,0.1130898460927605,0.0988095055313372,0.0282604944686628,1.1445239553080688,1.37,1.2240169397543912,0.504023582737964,-0.3387932536795793,0.0040970635624686,0.029175380984066,-0.0019217632026495,1,16.329999923706055,20.6200008392334,3.622999923706054
TFC,2021-06-30,2021-07-15,1.0,57.21,57.84,-2.36,-3.42,1.17,1.36,1.05,15.0,1.17,1.17,1.16,1.17,1.0,0.0,6.0,0.0,5473270000.0,5539000000.0,5360400000.0,14.0,3429.6,2670.56,643.2,340.89,-11.46,-76.85,,42.17,0.0,28.65,41.72,21.59,12.1,55.0,55.0,55.0,0.55,1.075,1.625,2.9545454545454546,0.49292,0.46365,0.478285,0.258775,45.89522983158577,-0.2,1455.0,111.0,1.661896243291592,2.0,0.0,1,2.9545454545454546,2021-07-14,435.0,408.7737121582031,0.12707,0.1442573809523809,0.1504839999999999,0.0171873809523809,0.0234139999999999,0,0.16122,0.10268,0.05854,0.0048799999999999,0.5714704159343885,,,0.1130898460927605,0.0988095055313372,0.0282604944686628,1.1445239553080688,1.37,1.2240169397543912,0.504023582737964,-0.3387932536795793,0.0040970635624686,0.029175380984066,-0.0019217632026495,1,16.329999923706055,20.6200008392334,3.622999923706054
PGR,2021-06-30,2021-07-15,0.0,93.76,98.76,1.27,-3.86,1.08,1.92,0.9,15.0,1.09,1.16,1.43,1.39,1.0,1.0,2.0,0.0,11522500000.0,11763300000.0,11148900000.0,7.0,5668.0,5124.64,-155.73,598.91,22.77,-73.17,12.93,-9.95,-6.01,100.18,113.55,4.66,6.94,97.5,95.0,97.5,1.2000000000000002,1.225,2.4250000000000003,2.4871794871794877,0.42462,0.41487,0.41974500000000003,0.20024,52.29484568011531,-0.20487000000000005,827.0,162.0,3.6919642857142856,2.0,2.564102564102566,0,-0.07692307692307843,2021-07-14,435.0,408.7737121582031,0.12707,0.1442573809523809,0.1504839999999999,0.0171873809523809,0.0234139999999999,0,0.16122,0.10268,0.05854,0.0048799999999999,0.5714704159343885,,,0.1130898460927605,0.0988095055313372,0.0282604944686628,1.1445239553080688,1.37,1.2240169397543912,0.504023582737964,-0.3387932536795793,0.0040970635624686,0.029175380984066,-0.0019217632026495,1,16.329999923706055,20.6200008392334,3.622999923706054
MS,2021-06-30,2021-07-15,1.0,90.7,78.59,2.13,17.86,1.65,1.78,1.47,20.0,1.65,1.63,1.63,1.5,2.0,3.0,10.0,0.0,13960900000.0,14731000000.0,13465500000.0,17.0,9511.2,6952.0,1078.93,401.12,63.83,-67.69,26.1,116.83,14.06,109.8,149.02,0.0,12.35,92.0,91.0,92.0,1.31,0.835,2.145,2.331521739130435,0.39536,0.3856,0.39048,0.23926,38.726695349313665,-0.12683,5970.0,1510.0,0.7578731117824773,2.0,1.0869565217391353,1,1.2445652173912998,2021-07-14,435.0,408.7737121582031,0.12707,0.1442573809523809,0.1504839999999999,0.0171873809523809,0.0234139999999999,0,0.16122,0.10268,0.05854,0.0048799999999999,0.5714704159343885,,,0.1130898460927605,0.0988095055313372,0.0282604944686628,1.1445239553080688,1.37,1.2240169397543912,0.504023582737964,-0.3387932536795793,0.0040970635624686,0.029175380984066,-0.0019217632026495,1,16.329999923706055,20.6200008392334,3.622999923706054
